"wallet","source","balance"
"F4VFp4tFTyrQWo9YVjCbPE5eQP27ice2zyGDp2tN2Rkm","saber","6159420"
"5WENTPnK4C8oq5wzNGryKCacDRNQQ4KD4bsarWM1hH7K","saber,quarry","0"
"GodXVwR1m9CnYtq895brfAPPZRMmAFgeW7tQgk3drocv","saber","82105660"
"AShfT6Yf6VkGWX4qDfkaLUhmqZ5viHZ9iQMeoaBWcVsP","saber,quarry","0"
"EU4TXrmUiEaaF5M2JxzVunZV1UZcKircdunLxHsvRGGJ","saber,quarry","819692992"
"H59QnxbQrhRsLzaw3krhQHrAjKVcKAQTKSYtJ13SaAvA","saber,quarry","2053592"
"EejmB1svFdSFZZjtxLKFyEyB8ih2yiECMTXo447YaPrM","saber,quarry","0"
"DGkeFV1ruRNYoBiXQRfdsAw24jMDgFkQXzdEL58S2tpm","saber","0"
"AGJrH4QGnM1nmFtQGfJtTBZMCdTxJB76oEJYXo8wiYNd","saber,quarry","0"
"GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn","saber","0"
"EgFqyWX3tqkgtEELdZEDsRjuYDd3MAkz8RuTHgt6xaFX","direct,quarry","1000000000"
"4NHeSQPa4GL7FZGrpZDTFfztPm78ffG8Tr2eS4Y334Ky","direct","100000000"
"vZKPumsVcrcyMSn6qkHNo6LKkbFS3Z6VSXq3cDFu87p","direct","9968778"
"9i6njbLnCFbupBnzL56t5sdfgPci9pHo9g7VYXhyKwjn","direct","1045924491"
"FfXX6d3yyH9H8qS8fbnVN2MVgwwE7k1mHC7PUqpkGvCo","direct","44442424"
"AYhux5gJzCoeoc1PoJ1VxwPDe22RwcvpHviLDD1oCGvW","direct","22186964804"
"Czm6AaWY4cUvYwGS7ZjUk4H6SATLsBFwWfWGBmBebbDP","direct","4"
"4SDKbHrHkW3tDh8QTLj6gJAdq2Gd7wR7E89poPNLxNwo","direct","213664112"
"6tTaGzyDcp23n8b6dSjkd2fWpieByL7RxU3XJnLFQfqy","direct","118969831"
"2e6xccAWu5x6LvNEEwZAFaWe7Hu3cjmhgBrFkLzM6wQz","direct","214165149"
"6zroGhXfLCiDmHHPTctLf4VsWvQG5ARAZNRLxMx127dZ","direct","109556356"
"9RsC3FE1gbD3hYYa3qv9gXHQGQnmKJU9RyzedK42MhqD","direct","1017186543"
"9iZTmiUNudExXbihJ5c7F6WhEhnUYDygQEYqW5ER3PtV","direct","12009781395"
"44Rw5S7ciXvQZ5fTYGPxMpSvMw9j3qz1W4JUgzZr8odY","direct","100559453"
"81Lt2trx8zgF342Kehh2rtPjPoG9K3cm7ycLsya8ASsB","direct","100487992"
"24q5yVfW3Qg9zyuc5rckjEon8d9G2b51S6QGBUfSJSzD","direct","12075388"
"En7FMJD7zr8VvenXwH9SjCi2SenPE644s1L31mcnUgj9","direct","208994760"
"H3JexvjuVhFQQH9BUkS2bMSJBfn6T9oLeCyfGFfzERid","direct","995876635"
"6auWkSk8nTL1XyuRPF5zG3WSwsFvLHDJn3TJWRY2JB3x","direct","996027587"
"GAVkpUN5TBRf9WEsXtBZZApD7qmxdiBM6bTNsc5iEZcH","direct","594800419"
"3Ld7tcyGBoS3UvEUAsxXmrzfizykxTxamjGT6co3Cznj","direct","1065846862"
"Bkmicwj2yeb8r441rAwfWHWono2Gc3PPPuHyHHooiMKH","direct","45000000"
"89mfAuyoffTufU4wcu6Um7hubS2ctb873hHNEKx5AXKt","direct","2379201315"
"41HZutiBErkWcKREKA7oJhi1Mdk1Hafr9HoxzsvF9rNs","direct","1192784164"
"GHX1uH3f9AXfuujnNZ1KHU7y2vEnrnzDfC3ovooGMFQm","direct","9956287938"
"2HqbDZ4wWwDHT853e3q3dhccntk6o6aoADaoPgqDVEFZ","direct","4977459325"
"Bxmgejy1cWkPHUxHNERooMN5cZwKU6PfvkMPDeHTLDB5","direct","119459023"
"BUQkLtCZBPXdMjgW9wiJcxg2NSgJX5vJ8nJo3yEp9o8y","direct","118967567"
"kYDwKYoUko4SgLzWfvmUJWe4sxYrFEnAGsPZPXYckVn","direct","119005383"
"4ETGtMACUnh1LNbGLzXZSqecsPH3PqgnoWCgQByAaWyM","direct","82458453"
"3aJ3XVqtAmvmthLsvQfRkSkAxBUDAifGoi2qprn62kuv","direct","104504305"
"4RZGYjZTjyBS9eU79gFhUmxgyMxsf4XvjNAsHzUBQF7x","direct","298626919"
"APC3MupSU1w8W1MGaAuwQAe6eTjqKkTt7oNL9YcH9J46","direct","109504105"
"9bKC3xnN3Vu6ZAEez1nATiG3VCcY3nWczy4bozifEFAo","direct","1000071127"
"3scZbZmtt4HzWx466szDPgar8XFVCcc6P8pdc8Q72Tbz","direct","1215445304"
"Gr7HFT6uRdRhZzzxFJC3jxvAg1uwgACK1juwsAxFvGne","direct","10000000"
"35LmwsXbnyf8arRGg6kSFTMjgf5f9RuJ2Dovtwb4qUw1","direct","859708"
"35fX59rVaxNRv6oj475gKeHhL7qFqRetF1VN1K3TtZTh","direct","30940854571"
"9Z592mFDZJYWVHH1bPCePtveEuWUHJ8JVCb5mor73ZSh","direct","104532355"
"EGuHd4FQntkqDzc1ceWPPiYXbhr8JxN6W8goVUaQS1G","direct","996118563"
"6VQpKKrDFvzF5mpLRaGUzBM5tCyEWJgSaaDZV8xJjdrk","direct","31130170066"
"8s3w156FvTwVP6jyackTSZiTsHFaYJiEXpbYKxiGHBSi","direct","1005558455"
"88htGk4N8QLtRXG84H6Ze9Xhz6PZKPuwM68gVeKotwfP","direct","199069986"
"GuvrzFQLAkWxJcphF6NQFSwRakwkW3T65AcHFBXmPk7p","direct","99625656"
"JCrUaycNNxJzcKWj4RfQ3JLEATjP8wKTWFzPaScL1Huq","direct","1010150763"
"Axk8QbJWmUWU1Xq48YGoK7uXCg4W1JfcV82p99yYPYaM","direct","85242464"
"F2itnuzrKuFWsvR27UHoqpQrFLmVcLh5vjvQSazTDVRc","direct","10956291316"
"D9exHbHvUB4E4GGC7bkwEwddT79pfTGZdQhXzmoXrKMm","direct","1095697967"
"AmrXXCUJDyH2NWqxxc4KSkgzF8egSDRUSWqM8smG55jT","direct","5030398745"
"BcfWHaPxv7fMJgwdM5SPoctFoyCCMEdw417bv5Zrxqe1","direct","29861281201"
"DCaevCVKmJZr7ETeEQkpKxe5NGSFCKBVS6ERhym7JoWN","direct","1095776241"
"3zMRSzPc7Sa381hqG949LuMNpVSqaXa8S5Zobx8QuLnc","direct","119005382"
"9W4yVqfpBREkbeRhK2G6S2otocy6TX5KYuWzVEEu5dmC","direct","118923728"
"H1bsJ3MoC9fLxfnhQ3SR3b36eF3awUKUsWK2BWWaJ6aX","direct","119013197"
