"wallet","source","balance"
"GodXVwR1m9CnYtq895brfAPPZRMmAFgeW7tQgk3drocv","saber","83693316"
"EU4TXrmUiEaaF5M2JxzVunZV1UZcKircdunLxHsvRGGJ","saber,quarry","835543186"
"H59QnxbQrhRsLzaw3krhQHrAjKVcKAQTKSYtJ13SaAvA","saber,quarry","2093302"
"GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn","saber","0"
"5WENTPnK4C8oq5wzNGryKCacDRNQQ4KD4bsarWM1hH7K","saber,quarry","0"
"AGJrH4QGnM1nmFtQGfJtTBZMCdTxJB76oEJYXo8wiYNd","saber,quarry","0"
"F4VFp4tFTyrQWo9YVjCbPE5eQP27ice2zyGDp2tN2Rkm","saber","6278523"
"EejmB1svFdSFZZjtxLKFyEyB8ih2yiECMTXo447YaPrM","saber,quarry","2008900168"
"DGkeFV1ruRNYoBiXQRfdsAw24jMDgFkQXzdEL58S2tpm","saber","0"
"AShfT6Yf6VkGWX4qDfkaLUhmqZ5viHZ9iQMeoaBWcVsP","saber,quarry","0"
"6VQpKKrDFvzF5mpLRaGUzBM5tCyEWJgSaaDZV8xJjdrk","direct","31130170066"
"GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn","direct","100000000"
"4ETGtMACUnh1LNbGLzXZSqecsPH3PqgnoWCgQByAaWyM","direct","82458453"
"gMo7gKAnuLwDewJmzSPcqAL6LpdhzYrEFhJe7Z2t2hg","direct","996132156"
"GpHEwVB1Va5juaE4oLBbYAhwwfwMc3GB4QLFDkmMFoWX","direct","50000000"
"6sszPCaaySKzChEghTniJFTjFyoRRziRAkou7zkHpB6y","direct","4981087736"
"5Dk7MdTyRmK6TRHbGCKmz4g3Srurm3Ex4Amhgh2Re2s8","direct","130033154"
"8r7Fk3SWEUJZcQoM24Vs188XUP66r4Le9Rw3gNd363Di","direct","70000000"
"Axk8QbJWmUWU1Xq48YGoK7uXCg4W1JfcV82p99yYPYaM","direct","85242464"
"8FD33dGS13YazoKyYhewbYDKS5ijSE2RaHSMmY5Jv8iY","direct","30929663814"
"J1WAVacrR3rbVLoPnMVP2UGDcxSYRRZQJ1qQGngq91FG","direct","1008652535"
"EXdZNfWheWzNZrg53atXSaWqLNtMssdUzB6kNzHxn9Mf","direct","309905592"
"9k222LVKm7U9BmR52GnvMiQ9qQNNQfZeAs2jbFpa1uyJ","direct","85840005411"
"BSg3MB2xoVJRPoCMF5owVDLiKLFW7ErHmkFu8Lb7uEsj","direct","1004872211"
"i4S99teBn9TyDAXeMtmC3z6BVpHHerhc389JisJwf8G","direct","1000000000"
"D1bzpYPn9wmYUFV3BiZPh7EMruGi5hiuWuTGtEuZMmsN","direct","589499034"
"9iZTmiUNudExXbihJ5c7F6WhEhnUYDygQEYqW5ER3PtV","direct","12009781395"
"F4VFp4tFTyrQWo9YVjCbPE5eQP27ice2zyGDp2tN2Rkm","direct","19991564"
"HhziBdwd6iVssFXDhkiJrMp3pgX4xVD7Xf1pu4PV891y","direct","61278717"
"54kMfGrKUPUxCMXXr16S1AX9vgqpua9aNbMvMGr55JF8","direct,quarry","10000000"
"EgFqyWX3tqkgtEELdZEDsRjuYDd3MAkz8RuTHgt6xaFX","direct,quarry","1000000000"
"FP7nSHHFByaS9xkJXSqiN4BgPEKm1LjXpMRAeMSiz1Bq","direct","1006130166"
"AYhux5gJzCoeoc1PoJ1VxwPDe22RwcvpHviLDD1oCGvW","direct","18979118158"
"EJq5rzD8rw5woBQ7zMAyw4D9ncidXdyHbj23B8dvpJ4T","direct","270987997"
"AWQ23pAesdh6nZYFELJgjvDwb6BGugK6Kq293B2jXXqp","direct","1006889954"
"DCaevCVKmJZr7ETeEQkpKxe5NGSFCKBVS6ERhym7JoWN","direct","1095776241"
"89mfAuyoffTufU4wcu6Um7hubS2ctb873hHNEKx5AXKt","direct","2379201315"
"6voEMoXz6WQFeV9Zzkp2meYSxM3D1bTXacyMiAyYAjcD","direct","105562727"
"iEodbEfWFggyqfQauXzjZUmYpoSe5Bt1YgJ7PEJFpNy","direct","2000000000"
"GAVkpUN5TBRf9WEsXtBZZApD7qmxdiBM6bTNsc5iEZcH","direct","594800419"
"2vnp5VCJaMwT4DZmWFdBvnhn8upkiicLf8brAkt6tTPU","direct","18585649"
"87Rfz8eHrJ97CFCz8eGpvNJ74SqkopT89L249SAYsaJv","direct","26387711"
"2zYQQRkmd7kt5CJnPDMoykW67cLWtoHp11jzQdjbTHd3","direct","3163600862"
"FUaiBxaMJHwTVUCxbBSTYLaqPpvxDtjNM4mpGBN7jNA2","direct","380802"
"5cpmVRiZc7Jyhzxy6XacATkxWBPciYLXGWsAVFy481LY","direct","1189600233"
"CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL","direct","2000000000"
"5xZfvm5aNBLtpDzKMgGKf4YDfvwPvWqUQwgDvGPZ3MxY","direct","3"
"DRMRqesemFYLxJSYjSkrxvutsntT1U5BU4ERn2YjyB8P","direct","1189600659"
"F21nsuNL3wrgtMTd5XpyWLSrx8wt8o6XJknSacLz59dn","direct","398658588"
"AR7hTDv52hmEJzyyCGNTzcyDAyhLfok9awBNSRviNgec","direct","500000000"
"H7ufw1mny8CqgPY8J6mL7e1JiUek1fUSxxxVVD82MVpQ","direct","237920602"
"DUjAUr9oAg2xEzA9BFjeEVC3Dbqg9C8tR8UkxcV5c6ug","direct","1189599961"
"GWq1m3qMjYZDD9FdY9GUmsT8CkXdysWgpqZ5obDx5B3o","direct","105487907"
"BBkoocctRizBPsu2WRHx5xvpd21UHx6ARVEDGVw7sAFa","direct","12121432"
"Bon6o2rLXtGeoxWJ2DgL2dFW4ZQB8QHQQY4xwFvGtfqF","direct,quarry","100000000"
"HHAnGNygaL1nzPA6nuEQ1eGZgNx2kcfiUULb4bGQG1b5","direct","1008114394"
"94BhPaqfCPC8MRVohVL3MSngNrVFAPXvsYYEBjYA3AGV","direct","400"
"24q5yVfW3Qg9zyuc5rckjEon8d9G2b51S6QGBUfSJSzD","direct","12075388"
